T_K,sigma_MPa,eps_dot_min_per_s,source
923,49.7,3.35e-10,Fernandez2005_Fig1_digitized
923,59.8,1.41e-09,Fernandez2005_Fig1_digitized
923,59.6,2.54e-09,Fernandez2005_Fig1_digitized
923,69.7,3.99e-09,Fernandez2005_Fig1_digitized
923,69.3,1.56e-08,Fernandez2005_Fig1_digitized
923,79.8,7.02e-09,Fernandez2005_Fig1_digitized
923,79.8,1.48e-08,Fernandez2005_Fig1_digitized
923,89.5,1.98e-08,Fernandez2005_Fig1_digitized
923,100.1,6.61e-08,Fernandez2005_Fig1_digitized
923,100.1,5.06e-08,Fernandez2005_Fig1_digitized
923,109.6,1.16e-07,Fernandez2005_Fig1_digitized
873,100.1,8.75e-10,Fernandez2005_Fig1_digitized
873,100.1,6.21e-10,Fernandez2005_Fig1_digitized
873,100.1,4.97e-10,Fernandez2005_Fig1_digitized
873,109.6,1.49e-09,Fernandez2005_Fig1_digitized
873,119.4,3.9e-09,Fernandez2005_Fig1_digitized
873,120.5,6.8e-09,Fernandez2005_Fig1_digitized
873,129.5,6.87e-09,Fernandez2005_Fig1_digitized
873,139.9,1.6e-08,Fernandez2005_Fig1_digitized
873,139.9,1.98e-08,Fernandez2005_Fig1_digitized
873,149.3,3.56e-08,Fernandez2005_Fig1_digitized
873,159.9,6.61e-08,Fernandez2005_Fig1_digitized
823,159.4,6.35e-10,Fernandez2005_Fig1_digitized
823,169.8,8.75e-10,Fernandez2005_Fig1_digitized
823,179.4,2.54e-09,Fernandez2005_Fig1_digitized
823,180.3,2.83e-09,Fernandez2005_Fig1_digitized
823,189.2,4.93e-09,Fernandez2005_Fig1_digitized
823,189.2,3.9e-09,Fernandez2005_Fig1_digitized
823,189.9,3.51e-09,Fernandez2005_Fig1_digitized
823,199.9,1.26e-08,Fernandez2005_Fig1_digitized
823,221.6,5.94e-08,Fernandez2005_Fig1_digitized
823,229.7,1.28e-07,Fernandez2005_Fig1_digitized
823,240.2,2.38e-07,Fernandez2005_Fig1_digitized
823,260.8,6.71e-07,Fernandez2005_Fig1_digitized
773,199.2,7.74e-11,Fernandez2005_Fig1_digitized
773,240.2,9.43e-10,Fernandez2005_Fig1_digitized
773,241.9,7.37e-10,Fernandez2005_Fig1_digitized
773,249.0,5.29e-10,Fernandez2005_Fig1_digitized
773,250.7,5.21e-09,Fernandez2005_Fig1_digitized
773,250.7,3.82e-09,Fernandez2005_Fig1_digitized
773,250.7,3.43e-09,Fernandez2005_Fig1_digitized
773,260.8,7.98e-09,Fernandez2005_Fig1_digitized
773,267.6,7.56e-09,Fernandez2005_Fig1_digitized
773,289.1,6.4e-08,Fernandez2005_Fig1_digitized
773,300.8,1.23e-07,Fernandez2005_Fig1_digitized
773,302.9,8.19e-08,Fernandez2005_Fig1_digitized
723,299.3,3.53e-10,Fernandez2005_Fig1_digitized
723,320.5,2.49e-09,Fernandez2005_Fig1_digitized
723,330.0,3.51e-09,Fernandez2005_Fig1_digitized
723,340.4,1.05e-08,Fernandez2005_Fig1_digitized
723,362.7,2.67e-08,Fernandez2005_Fig1_digitized
723,361.5,3.2e-08,Fernandez2005_Fig1_digitized
723,369.0,3.79e-08,Fernandez2005_Fig1_digitized
823,300.0,1e-05,Yu2005_text
